huka,expediture_type,fc3,doc_type,total_forecasted_value,total_forecasted_value_no_resid,actual_2023,actual_2024,actual_2025
7080,10,1703,SA,117.0,0.0,0.0,117.0,0.0
7080,10,1703,ZW,0.18730260182006775,0.18730260182006764,1200.0,-5941.49,0.0
7080,20,900,RV,39180475.32814155,31339644.824235305,20113642.439999998,27560396.4,50809506.25
7080,20,900,SA,0.0,0.0,197341.0,0.0,0.0
7080,20,900,ZJ,2519342.9609574703,2519342.960957471,1296800.0,1852111.0,2504574.0
7080,20,1703,RV,730121.2051071796,730121.2051071796,97033.0,1062424.0,508132.22
7080,20,1703,SA,0.0,0.0,694056.0,0.0,0.0
7080,20,1703,ZJ,127049.38254858607,127049.38254858607,1613316.0,1473782.0,1707423.0
7090,20,1100,RV,86538697.42206386,54199668.59670548,36102338.0,11096300.0,41976928.3
7090,20,1100,SA,0.0,0.0,-453734.0,0.0,0.0
7137,10,300,KR,-15061.5,0.0,0.0,0.0,-15061.5
7137,10,300,RV,13515.502765500729,13515.502765500729,338942.41000000003,153747.16,43848.71
7137,10,500,KG,9806.36,0.0,0.0,0.0,15061.5
7137,10,500,RV,210598.1616549338,210598.1616549338,310056.09,281738.83,274265.8
7137,10,600,RV,852848.0330512977,1380721.383266501,1242354.35,909112.22,1047886.8200000001
7137,10,700,RV,74598.27306582361,74598.2730658236,134004.52,161673.31,112117.73999999999
7137,10,800,RV,37259.548912983446,37259.548912983446,343333.8,280198.06,143185.94
7137,10,900,ZC,0.0,-0.16006800857921366,481.99,245.5,70.0
7190,10,101,DR,0.0,0.0,1890.0,0.0,0.0
7200,20,2000,ZJ,1261428.653382337,1261428.653382337,2404810.0,2698303.49,3080361.0
7220,10,1704,DG,-23092.0,0.0,-178325.0,-19274018.46,-23092.0
7220,10,1704,DR,9681115.447430419,9681115.447430417,7584149.82,29058336.83,9286874.0
7220,10,1704,KG,304.0,0.0,0.0,0.0,608.0
7220,10,1704,KR,-41250.0,0.0,-76950.0,-35320.0,-41250.0
7220,10,1704,RV,4004325.701462415,412582.67599064205,1817554.6900000002,3753532.87,177444.08000000002
7220,10,1704,SA,15724.666666666666,0.0,45617.0,31005.0,19815.0
7240,10,109,DR,624281.1076267366,624281.1076267366,1051224.07,279672.0,628532.24
7240,10,802,DG,-72836.9,0.0,-38638.64,0.0,-72836.9
7240,10,802,DR,422636.9893126864,422636.98931268643,499344.54000000004,449968.84,512890.94
7240,10,802,RV,253078.4123640412,253078.4123640412,290000.0,290000.0,320000.0
7240,10,1704,DR,45723.04668679017,45723.04668679017,361732.0,4228.0,0.0
7240,10,1704,RV,352164.7456558358,237580.52348786703,800143.1,605928.32,411623.96
7240,10,2000,ZW,0.0,0.0,372.4,0.0,0.0
7240,20,802,RV,2771242.977755222,-32370.34241718985,1330000.0,1595000.0,1760000.0
7241,10,1704,DR,40418.11000000001,0.0,45994.8,40418.11,0.0
7241,10,1704,RV,667645.9787750123,667645.9787750123,848831.0,1355171.33,173100.72
7241,20,1704,ZJ,968980.2050000002,0.0,855511.0,960831.0,977129.41
7260,10,300,RV,2798216.373494745,2798216.373494745,3384065.2600000002,1598373.75,2296327.7399999998
7260,10,300,SH,0.0,0.0,-2827.99,-25451.99,0.0
7260,10,300,ZC,533768.7139894866,533768.7139894865,532195.72,613956.77,428091.39
7260,10,500,RV,6646.6795052950765,6646.6795052950765,7021.5,75063.84,75604.95999999999
7260,10,500,SH,-6602.77,0.0,0.0,0.0,-6602.77
7260,10,600,DG,-88.0,0.0,-114.4,0.0,-88.0
7260,10,600,DR,5476.744128716157,5476.744128716157,34760.0,29232.0,20700.8
7260,10,600,KR,0.0,0.0,-1100.0,0.0,0.0
7260,10,600,RV,164511.64836771588,96124.69859964948,2158597.86,2729941.62,2728610.31
7260,10,600,SH,-476849.74,0.0,0.0,-577761.4299999999,-476849.74
7260,10,700,DG,-42400.0,0.0,-2800.0,-8500.0,-42400.0
7260,10,700,DR,7724.247115963278,7724.247115963281,373396.0,436996.0,546122.0
7260,10,700,KR,-1000.0,0.0,0.0,0.0,-1000.0
7260,10,700,RV,1968361.55076907,1892453.2573120387,4841580.25,2728521.43,2015428.44
7260,10,700,SA,-3600.0,0.0,0.0,-500.0,-3600.0
7260,10,700,SH,-55272.64,0.0,0.0,-35069.6,-55272.64
7260,10,800,KG,9910.0,0.0,0.0,0.0,9910.0
